log_id,rice_id,integration_name,integration_identifier,integration_version,instance_id,invoked_by,service_instance_name,oic_base_url,integration_status,log_timestamp,db_user,login_role,database_name,client_ip,client_port,server_ip,server_port,backend_pid,application_name
97,OC_SPB_OB_001,OC_SPB_OB_001_SuperbaseLogs,OC_SPB_OB_001_SPB_LOG_CLAN,01.00.0000,TdbScY4JEfGsYi36NKdwjg,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,SUCCESS,2026-08-02 06:30:04.233411,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,35274,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,46941,Supavisor
101,OC_SPB_OB_001,OC_SPB_OB_001_SuperbaseLogs,OC_SPB_OB_001_SPB_LOG_CLAN,01.00.0000,EQ84t44aEfGsYi36NKdwjg,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,SUCCESS,2026-08-02 08:30:02.395886,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,38076,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,55208,Supavisor
104,OC_SPB_OB_001,OC_SPB_OB_001_SuperbaseLogs,OC_SPB_OB_001_SPB_LOG_CLAN,01.00.0000,p7Vjuo4mEfGsYi36NKdwjg,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,SUCCESS,2026-08-02 10:00:03.55978,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,53488,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,61358,Supavisor
106,OC_SPB_OB_001,OC_SPB_OB_001_SuperbaseLogs,OC_SPB_OB_001_SPB_LOG_CLAN,01.00.0000,B2T1Y44vEfGsYi36NKdwjg,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,SUCCESS,2026-08-02 11:00:03.039309,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,46044,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,64752,Supavisor
107,OC_SPB_OB_001,OC_SPB_OB_001_SuperbaseLogs,OC_SPB_OB_001_SPB_LOG_CLAN,01.00.0000,No3gs44zEfGsYi36NKdwjg,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,SUCCESS,2026-08-02 11:30:05.231981,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,46044,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,64752,Supavisor
108,OC_SPB_OB_001,OC_SPB_OB_001_SuperbaseLogs,OC_SPB_OB_001_SPB_LOG_CLAN,01.00.0000,aXOGSo43EfGsYi36NKdwjg,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,SUCCESS,2026-08-02 12:00:05.39996,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,46044,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,64752,PostgreSQL JDBC Driver
109,OC_SPB_OB_001,OC_SPB_OB_001_SuperbaseLogs,OC_SPB_OB_001_SPB_LOG_CLAN,01.00.0000,maMydY47EfGsYi36NKdwjg,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,SUCCESS,2026-08-02 12:30:04.082926,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,46044,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,64752,PostgreSQL JDBC Driver
111,OC_SPB_OB_001,OC_SPB_OB_001_SuperbaseLogs,OC_SPB_OB_001_SPB_LOG_CLAN,01.00.0000,-b9CdY5DEfGsYi36NKdwjg,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,SUCCESS,2026-08-02 13:30:05.238624,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,46044,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,64752,PostgreSQL JDBC Driver
114,OC_SPB_OB_001,OC_SPB_OB_001_SuperbaseLogs,OC_SPB_OB_001_SPB_LOG_CLAN,01.00.0000,j7rVZo5QEfGsYi36NKdwjg,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,SUCCESS,2026-08-02 15:00:02.981938,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,33458,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,82059,Supavisor
116,OC_SPB_OB_001,OC_SPB_OB_001_SuperbaseLogs,OC_SPB_OB_001_SPB_LOG_CLAN,01.00.0000,8Ynr445YEfGsYi36NKdwjg,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,SUCCESS,2026-08-02 16:00:03.993489,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,51120,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,86161,Supavisor
